ID,medv
test_0,24.5
test_1,35.2
test_2,28.6
test_3,21.4
test_4,13.9
test_5,16.4
test_6,30.1
test_7,13.8
test_8,17.2
test_9,22.2
test_10,32.4
test_11,10.8
test_12,18.7
test_13,48.3
test_14,36.4
test_15,26.6
test_16,8.3
test_17,43.1
test_18,28.2
test_19,32.5
test_20,30.1
test_21,20.2
test_22,19.6
test_23,26.4
test_24,20.3
test_25,18.1
test_26,29.0
test_27,24.4
test_28,24.0
test_29,15.3
test_30,12.3
test_31,20.1
test_32,24.1
test_33,25.1
test_34,13.1
test_35,17.8
test_36,24.6
test_37,20.1
test_38,12.1
test_39,31.2
test_40,8.4
test_41,20.6
test_42,19.6
test_43,29.8
test_44,14.8
test_45,24.3
test_46,21.4
test_47,19.3
test_48,28.7
test_49,33.2
test_50,17.1
test_51,50.0
test_52,23.3
test_53,19.9
test_54,19.1
test_55,28.5
test_56,17.2
test_57,30.5
test_58,34.9
test_59,21.4
test_60,34.9
test_61,18.6
test_62,14.9
test_63,12.5
test_64,13.5
test_65,20.5
test_66,46.0
test_67,15.4
test_68,22.9
test_69,19.4
test_70,8.3
test_71,32.0
test_72,10.2
test_73,25.0
test_74,13.0
test_75,14.3
test_76,37.3
test_77,23.9
test_78,14.6
test_79,20.6
test_80,26.4
test_81,13.4
test_82,22.2
test_83,19.7
test_84,21.0
test_85,16.8
test_86,22.6
test_87,24.5
test_88,50.0
test_89,30.1
test_90,34.7
test_91,19.5
test_92,21.7
test_93,42.8
test_94,21.9
test_95,18.6
test_96,14.5
test_97,22.9
test_98,21.4
test_99,18.2
test_100,19.4
test_101,17.4
test_102,15.2
test_103,20.1
test_104,20.4
test_105,35.1
test_106,7.0
test_107,20.4
test_108,33.8
test_109,24.7
test_110,24.5
test_111,50.0
test_112,29.6
test_113,36.0
test_114,19.5
test_115,19.4
test_116,20.5
test_117,29.1
test_118,21.2
test_119,32.9
test_120,23.3
test_121,31.5
test_122,18.9
test_123,11.8
test_124,22.0
test_125,20.4
test_126,24.7
test_127,26.6
test_128,11.8
test_129,16.7
test_130,33.4
test_131,31.1
test_132,41.3
test_133,8.4
test_134,18.3
test_135,23.4
test_136,17.6
test_137,17.1
test_138,39.8
test_139,29.6
test_140,15.6
test_141,22.0
test_142,37.6
test_143,19.9
test_144,20.6
test_145,27.0
test_146,16.2
test_147,26.5
test_148,15.6
test_149,13.1
